FRNM_NM,RN_ADDR,OPR_TIME_INFO,RPRS_TELNO,HMPG_URL,LA_VLUE,LO_VLUE
가까운천사약국,서울특별시 강서구 공항대로36길 9 (내발산동),월 08:30 - 18:30 | 화 08:30 - 18:30 | 수 08:30 - 18:30 | 목 08:30 - 18:30 | 금 08:30 - 18:30 | 토 09:00 - 13:30 | 일 정보없음,02-2662-0266,,37.55811691,126.8374634
감초온누리약국,경기 가평군 설악면 신천중앙로88번길 1 온누리감초약국,수 08:30 - 18:30 | 목 08:30 - 18:30 | 금 08:30 - 18:30 | 토 08:30 - 14:00 | 일 정기휴무 (매주 일요일) | 월 08:30 - 18:30 | 화 08:30 - 18:30,031-585-1008,,37.67690277,127.4937744
건강이열리는약국,경기도 안산시 단원구 선부로 187 (선부동),매일 09:00 - 21:00 ,031-485-9345,https://blog.naver.com/cbpharm,37.34194565,126.8159943
건강프라자약국,경기 김포시 유현로 19 유현마을신동아아파트 외부상가1층 (금포교회 맞은편),화 09:00 - 20:30 | 수 09:00 - 20:30 | 목 09:00 - 20:30 | 금 09:00 - 20:30 | 토 09:00 - 19:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 20:30,0507-1327-0295,,37.59754181,126.7246323
고은약국,인천 남동구 구월말로 117 1층,수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 17:00 | 일 10:00 - 17:00 | 월 09:00 - 20:00 | 화 09:00 - 20:00,0507-1363-8248,https://blog.naver.com/zowenz,37.45967865,126.7253494
광제사약국,서울 광진구 면목로 130 광제사약국,월(9/16) 추석 연휴12:00 - 19:00 | 화(9/17) 추석12:00 - 19:00 | 수 08:30 - 21:00 | 목 08:30 - 21:00 | 금 08:30 - 21:00 | 토 08:30 - 19:00 | 일 12:00 - 19:00,0507-1367-1832,https://gwangjesa.modoo.at,37.56497192,127.0808945
굿모닝온누리약국,인천광역시 서구 가정로 364-1 (가정동),,032-579-7571,,37.51738739,126.673172
굿모닝옵티마약국,대구 달서구 와룡로 201 굿모닝옵티마약국,수 09:00 - 19:00 | 목 09:00 - 20:00 | 금 09:00 - 19:00 | 토 09:00 - 15:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 20:00 | 화 09:00 - 19:00,0507-1407-0856,,35.85068893,128.53685
금당약국,전남 순천시 해룡면 장선배기길 284 청솔 1차 아파트 상가 1층 금당약국,월 09:00 - 20:00 | 화 09:00 - 20:00 | 수 09:00 - 20:00 | 목 09:00 - 20:00 | 금 09:00 - 20:00 | 토 09:00 - 14:00 | 일 정기휴무 (매주 일요일),0507-1449-2319,https://blog.naver.com/seoieye117,34.94509506,127.5303192
금호동동물약국,광주광역시 서구 화개1로79번길 3 (금호동),월 09:20 - 20:00 | 화 09:20 - 20:00 | 수 09:20 - 20:00 | 목 09:20 - 20:00 | 금 09:20 - 20:00 | 토 09:20 - 16:00 | 일 정기휴무 (매주 일요일),062-655-0073,https://blog.naver.com/kmyhae59,35.13093185,126.8547668
기린 약국,경기 이천시 경충대로2675번길 52 기린타워 1층,수 09:00 - 16:30 | 12:00 - 13:00 휴게시간 | 목 09:00 - 16:30 | 12:00 - 13:00 휴게시간 | 금 09:00 - 16:30 | 12:00 - 13:00 휴게시간 | 토 정기휴무 (매주 토요일) | 일 정기휴무 (매주 일요일) | 월 09:00 - 16:30 | 12:00 - 13:00 휴게시간 | 화 09:00 - 16:30 | 12:00 - 13:00 휴게시간,031-631-7221,https://blog.naver.com/snoopysnow,37.27492905,127.4345627
논산 온누리약국,충청남도 논산시 중앙로 494-1 (화지동),,041-735-2253,,36.20684433,127.0831833
뉴제주약국,제주 제주시 연동8길 8,수 09:30 - 20:20 | 목 09:30 - 20:20 | 금 09:30 - 20:20 | 토 09:30 - 13:40 | 일 정기휴무 (매주 일요일) | 월 09:30 - 20:20 | 화 09:30 - 20:20,0507-1415-5244,,33.48513412,126.4905167
늘봄약국,경기 부천시 소사구 옥길로 113 대로변 1층,수 09:00 - 19:30 | 목 09:00 - 19:30 | 금 09:00 - 19:30 | 토 08:30 - 15:30 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:30 | 화 09:00 - 19:30,0507-1363-0050,,37.46733475,126.8220673
다나은약국,"부산 연제구 거제천로 258 104호, 다나은약국",수 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 목 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 금 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 토 09:00 - 14:00 | 일 정기휴무 (매주 일요일) | 월 09:00 - 19:00 | 13:00 - 13:30 휴게시간 | 화 09:00 - 19:00 | 13:00 - 13:30 휴게시간,051-852-0074,,35.19160843,129.0852509
